,Unnamed: 0,rank,title,score,scored_by_users,type,episodes,status,aired,Year Aired,premiered,Premiered Season,broadcast,Broadcast Date,producers,licensors,studios,source,genres,Main Genre,theme,demographic,duration,duration (mins),rating,popularity,url
0,0,1,Fullmetal Alchemist: Brotherhood,9.15,1704441,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",2009,Spring 2009,Spring,Sundays at 17:00 (JST),Sundays,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,Manga,"Action, Adventure, Comedy, Drama, Fantasy",Action,Military,Shounen,24 min. per ep.,24 ,R - 17+ (violence & profanity),3,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
1,1,2,Shingeki no Kyojin: The Final Season Part 2,9.12,188373,TV,12,Currently Airing,"Jan 10, 2022 to ?",2022,Winter 2022,Winter,Mondays at 00:05 (JST),Mondays,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprise","None found, add some",MAPPA,Manga,"Action, Drama, Fantasy, Mystery",Action,Unknown,Shounen,23 min. per ep.,23 ,R - 17+ (violence & profanity),198,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
2,2,3,Steins;Gate,9.09,1161139,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",2011,Spring 2011,Spring,Wednesdays at 02:05 (JST),Wednesdays,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Drama,Psychological,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,13,https://myanimelist.net/anime/9253/Steins_Gate
3,3,4,Gintama°,9.09,182120,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",2015,Spring 2015,Spring,Wednesdays at 18:00 (JST),Wednesdays,"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Action,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,334,https://myanimelist.net/anime/28977/Gintama°
4,4,5,Shingeki no Kyojin Season 3 Part 2,9.08,1195629,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",2019,Spring 2019,Spring,Mondays at 00:10 (JST),Mondays,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,"Action, Drama, Fantasy, Mystery",Action,Unknown,Shounen,23 min. per ep.,23 ,R - 17+ (violence & profanity),32,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
5,5,6,Fruits Basket: The Final,9.06,128247,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",2021,Spring 2021,Spring,Tuesdays at 01:30 (JST),Tuesdays,"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",Funimation,TMS Entertainment,Manga,"Drama, Romance, Slice of Life, Supernatural",Drama,Unknown,Shoujo,23 min. per ep.,23 ,PG-13 - Teens 13 or older,629,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
6,6,7,Gintama',9.06,188495,TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",2011,Spring 2011,Spring,Mondays at 18:00 (JST),Mondays,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi",Action,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,379,https://myanimelist.net/anime/9969/Gintama
8,8,9,Hunter x Hunter (2011),9.05,1343292,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",2011,Fall 2011,Fall,Sundays at 10:55 (JST),Sundays,"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",Action,Super Power,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,9,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,9,10,Gintama': Enchousen,9.04,137219,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",2012,Fall 2012,Fall,Thursdays at 18:00 (JST),Thursdays,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi",Action,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,684,https://myanimelist.net/anime/15417/Gintama__Enchousen
11,11,12,Gintama.,8.99,115784,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",2017,Winter 2017,Winter,Mondays at 01:35 (JST),Mondays,"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Action,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,731,https://myanimelist.net/anime/34096/Gintama
12,12,13,3-gatsu no Lion 2nd Season,8.96,164760,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",2017,Fall 2017,Fall,Saturdays at 23:00 (JST),Saturdays,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Aniplex of America,Shaft,Manga,"Drama, Slice of Life",Drama,Game,Seinen,25 min. per ep.,25 ,PG-13 - Teens 13 or older,526,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
15,15,16,Clannad: After Story,8.95,586077,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",2008,Fall 2008,Fall,Fridays at 01:59 (JST),Fridays,"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"Comedy, Drama, Romance, Slice of Life, Supernatural",Comedy,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,101,https://myanimelist.net/anime/4181/Clannad__After_Story
